DATE,RCON65Q4,RCON66Q1,RCON66Q2,RCON66Q3,RCON66Q4,RCON67Q1,RCON67Q2,RCON67Q3,RCON67Q4,RCON68Q1,RCON68Q2,RCON68Q3,RCON68Q4,RCON69Q1,RCON69Q2,RCON69Q3,RCON69Q4,RCON70Q1,RCON70Q2,RCON70Q3,RCON70Q4,RCON71Q1,RCON71Q2,RCON71Q3,RCON71Q4,RCON72Q1,RCON72Q2,RCON72Q3,RCON72Q4,RCON73Q1,RCON73Q2,RCON73Q3,RCON73Q4,RCON74Q1,RCON74Q2,RCON74Q3,RCON74Q4,RCON75Q1,RCON75Q2,RCON75Q3,RCON75Q4,RCON76Q1,RCON76Q2,RCON76Q3,RCON76Q4,RCON77Q1,RCON77Q2,RCON77Q3,RCON77Q4,RCON78Q1,RCON78Q2,RCON78Q3,RCON78Q4,RCON79Q1,RCON79Q2,RCON79Q3,RCON79Q4,RCON80Q1,RCON80Q2,RCON80Q3,RCON80Q4,RCON81Q1,RCON81Q2,RCON81Q3,RCON81Q4,RCON82Q1,RCON82Q2,RCON82Q3,RCON82Q4,RCON83Q1,RCON83Q2,RCON83Q3,RCON83Q4,RCON84Q1,RCON84Q2,RCON84Q3,RCON84Q4,RCON85Q1,RCON85Q2,RCON85Q3,RCON85Q4,RCON86Q1,RCON86Q2,RCON86Q3,RCON86Q4,RCON87Q1,RCON87Q2,RCON87Q3,RCON87Q4,RCON88Q1,RCON88Q2,RCON88Q3,RCON88Q4,RCON89Q1,RCON89Q2,RCON89Q3,RCON89Q4,RCON90Q1,RCON90Q2,RCON90Q3,RCON90Q4,RCON91Q1,RCON91Q2,RCON91Q3,RCON91Q4,RCON92Q1,RCON92Q2,RCON92Q3,RCON92Q4,RCON93Q1,RCON93Q2,RCON93Q3,RCON93Q4,RCON94Q1,RCON94Q2,RCON94Q3,RCON94Q4,RCON95Q1,RCON95Q2,RCON95Q3,RCON95Q4,RCON96Q1,RCON96Q2,RCON96Q3,RCON96Q4,RCON97Q1,RCON97Q2,RCON97Q3,RCON97Q4,RCON98Q1,RCON98Q2,RCON98Q3,RCON98Q4,RCON99Q1,RCON99Q2,RCON99Q3,RCON99Q4,RCON00Q1,RCON00Q2,RCON00Q3,RCON00Q4,RCON01Q1,RCON01Q2,RCON01Q3,RCON01Q4,RCON02Q1,RCON02Q2,RCON02Q3,RCON02Q4,RCON03Q1,RCON03Q2,RCON03Q3,RCON03Q4,RCON04Q1,RCON04Q2,RCON04Q3,RCON04Q4,RCON05Q1,RCON05Q2,RCON05Q3,RCON05Q4,RCON06Q1,RCON06Q2,RCON06Q3,RCON06Q4,RCON07Q1,RCON07Q2,RCON07Q3,RCON07Q4,RCON08Q1,RCON08Q2,RCON08Q3,RCON08Q4,RCON09Q1,RCON09Q2,RCON09Q3,RCON09Q4,RCON10Q1,RCON10Q2,RCON10Q3,RCON10Q4,RCON11Q1,RCON11Q2,RCON11Q3,RCON11Q4,RCON12Q1,RCON12Q2,RCON12Q3,RCON12Q4,RCON13Q1,RCON13Q2,RCON13Q3,RCON13Q4,RCON14Q1,RCON14Q2,RCON14Q3,RCON14Q4,RCON15Q1,RCON15Q2,RCON15Q3,RCON15Q4,RCON16Q1,RCON16Q2,RCON16Q3,RCON16Q4,RCON17Q1,RCON17Q2,RCON17Q3,RCON17Q4,RCON18Q1,RCON18Q2,RCON18Q3,RCON18Q4,RCON19Q1,RCON19Q2,RCON19Q3,RCON19Q4,RCON20Q1,RCON20Q2,RCON20Q3,RCON20Q4,RCON21Q1,RCON21Q2,RCON21Q3,RCON21Q4,RCON22Q1
1960:Q4,316.5,316.5,316.5,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,316.4,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,454.1,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,453.2,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1007.8,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1214.1,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1434.8,1497.2,1497.2,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1513.5,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1600.3,1788.2,1788.2,1788.2,1788.2,1788.2,1788.2,1788.2,1788.2,1787.4,1787.4,1787.4,1787.4,1787.4,1787.4,1787.4,1787.4,1895,1895,1895,1895,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,1894.9,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2014.6,2018.5,2018.5,2018.5
1961:Q1,316.3,316.3,316.3,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,316.2,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454.8,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1009.5,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1218.1,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1434.2,1496.6,1496.6,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1512.8,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1600.2,1787.7,1787.7,1787.7,1787.7,1787.7,1787.7,1787.7,1787.7,1786.9,1786.9,1786.9,1786.9,1786.9,1786.9,1786.9,1786.9,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,1894.4,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2013.9,2017.8,2017.8,2017.8
1961:Q2,320.5,320.5,320.5,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,320.4,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,460.8,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,459.9,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1023.5,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1235.6,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1455.7,1518.7,1518.7,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1535.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1624.2,1814.3,1814.3,1814.3,1814.3,1814.3,1814.3,1814.3,1814.3,1813.4,1813.4,1813.4,1813.4,1813.4,1813.4,1813.4,1813.4,1922.7,1922.7,1922.7,1922.7,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,1922.6,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2043.8,2047.8,2047.8,2047.8
1961:Q3,324,324,324,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,462.2,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,461.4,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1024.6,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1238.8,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1463.5,1526.3,1526.3,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1542.9,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1632.1,1823.1,1823.1,1823.1,1823.1,1823.1,1823.1,1823.1,1823.1,1822.2,1822.2,1822.2,1822.2,1822.2,1822.2,1822.2,1822.2,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,1932,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2053.8,2057.8,2057.8,2057.8
1961:Q4,329.6,329.6,329.6,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,471.1,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,470.3,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1042.9,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1492.8,1557.1,1557.1,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1574.2,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1664.9,1859.6,1859.6,1859.6,1859.6,1859.6,1859.6,1859.6,1859.6,1858.7,1858.7,1858.7,1858.7,1858.7,1858.7,1858.7,1858.7,1970.8,1970.8,1970.8,1970.8,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,1970.7,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2099.2,2099.2,2099.2
1962:Q1,333.5,333.5,333.5,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,333.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,475.3,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1053.6,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1273.5,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1573.3,1573.3,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1590.6,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1682.7,1879.4,1879.4,1879.4,1879.4,1879.4,1879.4,1879.4,1879.4,1878.5,1878.5,1878.5,1878.5,1878.5,1878.5,1878.5,1878.5,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,1991.7,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2117.3,2121.4,2121.4,2121.4
1962:Q2,335.9,335.9,335.9,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,335.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,480.7,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,479.8,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1063.6,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1526.7,1592.4,1592.4,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1609.9,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1703.1,1902.5,1902.5,1902.5,1902.5,1902.5,1902.5,1902.5,1902.5,1901.6,1901.6,1901.6,1901.6,1901.6,1901.6,1901.6,1901.6,2016.2,2016.2,2016.2,2016.2,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2016.1,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2143.3,2147.5,2147.5,2147.5
1962:Q3,340.3,340.3,340.3,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,340.1,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,484.6,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,483.7,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1072.8,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1298.2,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1539.6,1605.3,1605.3,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1622.9,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1917.9,1917.9,1917.9,1917.9,1917.9,1917.9,1917.9,1917.9,1917,1917,1917,1917,1917,1917,1917,1917,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2160.6,2164.8,2164.8,2164.8
1962:Q4,344.8,344.8,344.8,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,344.6,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490.8,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1085.8,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1314.3,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1560.6,1628,1628,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1645.9,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1741.5,1945.1,1945.1,1945.1,1945.1,1945.1,1945.1,1945.1,1945.1,1944.2,1944.2,1944.2,1944.2,1944.2,1944.2,1944.2,1944.2,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2061.3,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2191.2,2195.4,2195.4,2195.4
1963:Q1,348.3,348.3,348.3,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,348.5,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.9,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,493.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1094.1,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1322.5,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1571.2,1639.2,1639.2,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1657.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1753.1,1958.2,1958.2,1958.2,1958.2,1958.2,1958.2,1958.2,1958.2,1957.3,1957.3,1957.3,1957.3,1957.3,1957.3,1957.3,1957.3,2075.3,2075.3,2075.3,2075.3,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2075.2,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2206.5,2210.8,2210.8,2210.8
1963:Q2,350,350,350,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,350.9,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,498.3,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,497.4,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1100.2,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1332.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1586.3,1654.8,1654.8,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976,1976,1976,1976,1976,1976,1976,1976,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2095.1,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2227.3,2231.7,2231.7,2231.7
